Nom,Catégorie,Âge,Prix,Intérieur/Extérieur,Adresse,Code postal,Commune,Tags affichés,Latitude,Longitude,Téléphone,Horaires,Site web,Remarque
Parc de la Tire,Parcs & aires de jeux,,Gratuit,Extérieur,,,Ferney-Voltaire,,46.254912,6.105615,,,,
Parc de la Tortue,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Genève,Aire de jeux,46.189858,6.139290,,,,
Parc de Pesay,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.174986,6.127043,,,,
Parc de Port Choiseul,Parcs & aires de jeux,,Gratuit,Extérieur,,,Versoix,,46.289401,6.170242,,,,
Parc de Poussy,Parcs & aires de jeux,,Gratuit,Extérieur,,,Vernier,,46.215553,6.089036,,,,
Parc de Vincy-Vermont,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,Chemin de Vincy,,Genève,Aire de jeux,46.218456,6.139973,,,,
"Parc des ""Ponettes""",Parcs & aires de jeux,,Gratuit,Extérieur,,,Carouge,,46.180897,6.151606,,,,
Parc des Burgondes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.232608,6.127994,,,,
Parc des Caroubiers,Parcs & aires de jeux,,Gratuit,Extérieur,,,Carouge,,46.187719,6.133490,,,,
Parc des Chaumettes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.194361,6.148291,,,,
Parc des Délices,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.207643,6.133289,,,https://www.geneve.ch/parc-delices,
Parc des Falaises,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bougeries,,46.187599,6.169022,,,,
Parc des Fraisiers,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.175789,6.112404,,,,
Parc des Franchises,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.211555,6.117762,,,https://www.geneve.ch/parc-franchises,
Parc des Grottes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.212849,6.136761,,,,
Parc des Hérissons,Parcs & aires de jeux,,Gratuit,Extérieur,,,Ornex,,46.274592,6.088372,,,,
Parc des Maronniers,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.230995,6.122008,,,,
Parc des Molliers,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bernex,,46.179974,6.085419,,,,
Parc des Racettes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.189077,6.105987,,,,
Parc Dinu-Lipatti,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bourg,,46.196326,6.192861,,,,
Parc du 14-juin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.200517,6.140467,,,,
Parc du Château de Voltaire,Parcs & aires de jeux,,Gratuit,Extérieur,,,Ferney-Voltaire,,46.256899,6.103370,,,,
Parc du Château-Pictet,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.231332,6.125506,,,,
Parc du Gros-Chêne,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.191101,6.103944,,,,
Parc du Gué,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.185842,6.120692,,,,
Parc du Pommier,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.229691,6.120503,,,,
Parc du Tibet,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bernex,,46.178046,6.078703,,,,
Parc du Vieux-Moulin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.189476,6.100317,,,,
Parc du Voiret,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.175059,6.117225,,,,
Parc Eglantyne-Jebb (Parc des Acacias),Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.190417,6.136171,,,,
Parc Emile-Dupont,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.192502,6.120918,,,,
Parc en Sauvy,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.176345,6.116649,,,,
Parc Floraire,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bourg,,46.191559,6.195561,,,,
Parc Gautier,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bourg,,46.194201,6.189435,,,,
Parc Geisendorf,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.209692,6.130766,,,https://www.geneve.ch/parc-geisendorf,
Parc Gourgas,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.199526,6.135883,,,,
Parc Grange-Canard,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bougeries,,46.201195,6.176962,,,https://www.chene-bougeries.ch/parcs-communaux,
Parc Guignet,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Collonge-Bellerive,Aire de jeux,46.238023,6.199099,,,,
Parc Gustave-et-Léonard Hentsch,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.208895,6.118639,,,,
Parc Jean-Marie-GIGNOUX,Parcs & aires de jeux,,Gratuit,Extérieur,,,Thônex,,46.194193,6.206199,,,,
Parc La Tour,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.229961,6.121399,,,,
Parc Liotard,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.214144,6.126624,,,,
Parc Louis-Bertrand,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.191293,6.116866,,,,
Parc Louis-Cottier,Parcs & aires de jeux,,Gratuit,Extérieur,,,Carouge,,46.184399,6.138439,,,,
Parc Lullin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genthod,,46.261740,6.157856,,,,
Parc Marignac,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.180386,6.122646,,,,
Parc Marina,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bernex,,46.176094,6.073286,,,,
Parc Patagonie,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bernex,,46.172758,6.071359,,,,
Parc paysager de la Pallanterie sud,Parcs & aires de jeux,,Gratuit,Extérieur,,,Meinier,,46.245270,6.217645,,,,
Parc Peter-Pfosi,Parcs & aires de jeux,,Gratuit,Extérieur,,,Thônex,,46.196416,6.207488,,,,
Parc Pré-Monnard,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.185426,6.115637,,,,
Parc privé du Château-Banquet,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.216675,6.150171,,,,
Parc Promeneur solitaire,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.203555,6.121961,,,,
Parc rural de la Maison du terroir,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bernex,,46.165973,6.077471,,,,
Parc Saint-Jean,Parcs & aires de jeux,,Gratuit,Extérieur,Parc Saint-Jean,,Genève,,46.205922,6.138749,,,,
Parc Sarasin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.232882,6.117890,,,https://www.grand-saconnex.ch/vivre-au-grand-saconnex/environnement-et-nature/espaces-verts/parc-sarasin,
Parc Simon-Eggly,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bellevue,,46.255431,6.154058,,,https://www.mairie-bellevue.ch/parcs/16295,
Parc Sismondi,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bougeries,,46.196317,6.186440,,,,
Parc Soubeyran,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.212514,6.123806,,,,
Parc St-Loup,Parcs & aires de jeux,,Gratuit,Extérieur,,,Versoix,,46.283641,6.154390,,,,
Parc Stagni,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bougeries,,46.196927,6.185397,,,,
Parc Surville,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.192145,6.125655,,,,
Parc Tressy-Cordy,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.184630,6.120378,,,,
Park des 5 Fontaines,Parcs & aires de jeux,,Gratuit,Extérieur,,,Divonne-les-Bains,,46.348638,6.148038,,,,
Place de jeux,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Plan-les-Ouates,Aire de jeux,46.167276,6.117244,,,,
Place de jeux du Parc des Franchises,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Genève,Aire de jeux,46.211122,6.116471,,,,
Place de jeux du parc Sarasin,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Le Grand-Saconnex,Aire de jeux,46.231636,6.118593,,,https://www.grand-saconnex.ch/vivre-au-grand-saconnex/enfance-jeunesse/places-de-jeux/place-de-jeux-du-parc-sarasin,
Place de Jeux du Stade,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.238500,6.021082,,,,
Place de jeux Messicoles,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Veyrier,Aire de jeux,46.178846,6.164158,,,,
Place des Acacias,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Saint-Genis-Pouilly,Aire de jeux,46.242825,6.035776,,,,
Place du 150eme,Parcs & aires de jeux,,Gratuit,Extérieur,,,Onex,,46.188614,6.100789,,,,
Place du Marais,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Crozet,Aire de jeux,46.282533,6.022216,,,,
Place du Souvenir,Parcs & aires de jeux,,Gratuit,Extérieur,,,Thoiry,,46.235754,5.981351,,,,
Plage des Eaux-Vives,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.210068,6.166038,,,,
Port Gitana,Parcs & aires de jeux,,Gratuit,Extérieur,,,Bellevue,,46.253419,6.154543,,,,
Pré Byron,Parcs & aires de jeux,,Gratuit,Extérieur,,,Cologny,,46.221405,6.183947,,,,
Préau couvert,Parcs & aires de jeux,0-12+,Gratuit,Extérieur,,,Lancy,Aire de jeux,46.188647,6.119460,,,,
Promenade de l'Observatoire,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.199930,6.152454,,,https://www.geneve.ch/promenade-observatoire,
Promenade de Warens,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.202992,6.123640,,,,
Promenade des Lavandières,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.204787,6.138914,,,https://www.geneve.ch/promenade-lavandieres,
Promenade du Pin,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.198073,6.149835,,,,
Rondeau des Bougeries,Parcs & aires de jeux,,Gratuit,Extérieur,,,Chêne-Bougeries,,46.190345,6.177000,,,,
Rotonde du Mont-Blanc,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.208991,6.150432,,,https://www.geneve.ch/rotonde-mont-blanc,
Square des Mesmes,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.219578,6.136269,,,,
Square du Mont-Blanc,Parcs & aires de jeux,,Gratuit,Extérieur,,,Genève,,46.207857,6.147580,,,https://www.geneve.ch/square-mont-blanc,
Square Jean-Jacques Rousseau,Parcs & aires de jeux,,Gratuit,Extérieur,,,Saint-Genis-Pouilly,,46.251622,6.033314,,,,
Square Montfalcon,Parcs & aires de jeux,,Gratuit,Extérieur,,,Carouge,,46.186369,6.136628,,,https://www.carouge.ch/lieux/square-montfalcon,
Square Rambossons,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.176958,6.123634,,,,
Terrain d'Aventures Lancy-Voirets,Parcs & aires de jeux,,Gratuit,Extérieur,,,Lancy,,46.175656,6.116216,,,,
Verger Au Biolay,Parcs & aires de jeux,,Gratuit,Extérieur,17 Route du Nant-d'Avril,,Vernier,,46.219347,6.089312,,,,
Zône nature du Marais,Parcs & aires de jeux,,Gratuit,Extérieur,,,Le Grand-Saconnex,,46.224504,6.115215,,,,
