Nom,Catégorie,Âge,Prix,Intérieur/Extérieur,Adresse,Code postal,Commune,Tags affichés,Latitude,Longitude,Téléphone,Horaires,Site web,Remarque,Début,Fin
Petits et Minis Rendez-vous au Musée Rath,Événements de saison,2-10,Gratuit,Intérieur,"Place de Neuve 1, 1204 Genève",1204,Genève,Musée / Deux groupes d'âge,,,,,https://www.mahmah.ch,Deux formules : 2-4 ans et 5-10 ans.,2026-08-02,2026-08-02
Parcours immersif du futur au MEG,Événements de saison,4-8,Gratuit,Intérieur,"Boulevard Carl-Vogt 65, 1205 Genève",1205,Genève,Musée / Immersif,,,,,https://www.meg.ch,,2026-08-02,2026-08-02
Science nature et littérature à la Rousseau,Événements de saison,4-12+,Gratuit,Extérieur,"Chemin de l'Impératrice 1, 1292 Chambésy",1292,Pregny-Chambésy,Jardin botanique / Nature,,,,,https://www.cjb-geneve.ch,,2026-08-11,2026-08-11
Atelier Court jus au jardin du MEG,Événements de saison,8-12+,Gratuit,Extérieur,"Boulevard Carl-Vogt 65, 1205 Genève",1205,Genève,Atelier,,,,14h ou 16h,https://www.meg.ch,,2026-08-12,2026-08-12
La mécanique des nuages (FMAC),Événements de saison,7-12,Payant,Intérieur,"Chemin du 23-Août 5, 1205 Genève",1205,Genève,Atelier artistique,,,,,https://www.fmac.ch,Vingt francs. Atelier sur cinq jours.,2026-08-10,2026-08-14
Atelier Bout de bois au jardin du MEG,Événements de saison,8-12+,Gratuit,Extérieur,"Boulevard Carl-Vogt 65, 1205 Genève",1205,Genève,Atelier,,,,,https://www.meg.ch,,2026-08-15,2026-08-15
À vos briques au Musée d'art et d'histoire,Événements de saison,6-12+,Payant,Intérieur,"Rue Charles-Galland 2, 1206 Genève",1206,Genève,LEGO / Musée,,,,,https://www.mahmah.ch,Vingt francs par construction.,2026-08-15,2026-08-15
YatouSplash à Palexpo,Événements de saison,,Payant,Intérieur,"Route François-Peyrot 30, 1218 Le Grand-Saconnex",1218,Le Grand-Saconnex,Structures gonflables / Aquatique,,,,,https://www.palexpo.ch/agenda/,Plus de 2500 m2 d'attractions gonflables aquatiques.,2026-06-24,2026-08-09
Megalloween à Palexpo,Événements de saison,,Payant,Intérieur,"Route François-Peyrot 30, 1218 Le Grand-Saconnex",1218,Le Grand-Saconnex,Halloween,,,,,https://www.palexpo.ch/agenda/,,2026-10-31,2026-10-31
Gex fête l'été,Événements de saison,0-12+,Gratuit,Extérieur,01170 Gex,01170,Gex,Animations d'été,,,,Selon programme,https://www.gex.fr/events/,"Animations au centre-ville, à Perdtemps et au pôle de loisirs de la Poudrière.",2026-06-13,2026-08-29
Les Quartiers d'été de Saint-Genis-Pouilly,Événements de saison,0-12+,Gratuit,Extérieur,01630 Saint-Genis-Pouilly,01630,Saint-Genis-Pouilly,Spectacles / Ciné plein air / Ateliers,,,,Selon programme,https://www.saint-genis-pouilly.fr,"Spectacles vivants, ateliers culturels, ciné plein air, initiation sportive et lectures.",2026-07-01,2026-08-31
Tôt ou T'Arts,Événements de saison,0-12+,Gratuit,Extérieur,,,,Arts de la rue / Itinérant,,,,Selon programme,https://www.paysdegex-montsjura.com,Festival des arts de la rue en différents lieux du Pays de Gex. Pas de lieu fixe.,2026-04-01,2026-09-30
Passage du Tour de France Femmes à Gex,Événements de saison,0-12+,Gratuit,Extérieur,01170 Gex,01170,Gex,Cyclisme / Caravane,,,,Caravane dès 12h50,https://www.gex.fr/events/,,2026-08-03,2026-08-03
La Barje des Lavandières,Cafés & restaurants bébé-friendly,0-12+,Mixte,Extérieur,"Promenade des Lavandières, 1201 Genève",1201,Genève,Buvette / Bord du Rhône / Animations gratuites,,,,,https://labarje.ch,,2026-05-01,2026-09-30
La Guinguette des Acacias,Cafés & restaurants bébé-friendly,0-12+,Mixte,Extérieur,1227 Les Acacias,1227,Genève,Guinguette / Jeux / Chaises longues,,,,,,,2026-05-01,2026-09-30
À la Pointe,Cafés & restaurants bébé-friendly,0-12+,Mixte,Extérieur,"Pointe de la Jonction, 1205 Genève",1205,Genève,Buvette / Bord du Rhône / Chaises longues,,,,,,,2026-05-01,2026-09-30
La Concrète,Cafés & restaurants bébé-friendly,0-12+,Mixte,Extérieur,1205 Genève,1205,Genève,Buvette éphémère,,,,,https://www.geneve.ch/concrete,,2026-05-08,2026-09-13
La Canopée,Cafés & restaurants bébé-friendly,0-12+,Mixte,Extérieur,"Quai Gustave-Ador, 1207 Genève",1207,Genève,Buvette / Végétalisé / Couvert,,,,,https://www.geneve.ch,"Espace éphémère végétalisé et couvert, avec buvette et food truck.",2026-05-01,2026-09-30
Fortune ! (théâtre en plein air),Événements de saison,0-12+,Payant,Extérieur,,,Genève,Théâtre / Plein air,,,,,https://www.geneve.ch/public/enfants-famille/evenements-vivre-famille,"Création de Charlotte Dumartheray. Lieu de représentation à vérifier sur le site.",2026-07-22,2026-08-16
Créez votre carte en chocolat,Événements de saison,0-12+,Payant,Intérieur,,,Genève,Chocolat / Atelier,,,,,,"Atelier au centre de Genève. Adresse exacte à vérifier auprès de l'organisateur.",2026-07-22,2026-08-13
Atelier découverte de l'École du Chocolat,Événements de saison,0-12+,Payant,Intérieur,,,Genève,Chocolat / Atelier,,,,,,"Accessible à tous. Adresse exacte à vérifier auprès de l'organisateur.",2026-07-13,2026-08-28
